-------CMD	---CNTRL	-----LOC
         0	00000105	00000000
       add	00000004	0000000c
      addi	00000104	00000004
       sub	00000004	0000000c
       ori	00000104	000000c4
      andi	00000104	000000e4

        lw	00000105	00000100
        lw	00000105	00000101
        lw	00000105	00000102
        lw	00000105	00000103
        lw	00000105	00000500
        lw	00000105	00000501
        lw	00000105	00000502
        lw	00000105	00000503

      addi	00000104	00000010
      addi	00000104	00000011
      addi	00000104	00000012
      addi	00000104	00000013
      addi	00000104	00000410
      addi	00000104	00000411
      addi	00000104	00000412
      addi	00000104	00000413
